X,Y
3.4838709677419355,-8.601731601731602
3.4086021505376345,-9.077922077922079
3.333333333333333,-9.662337662337663
3.303225806451613,-10.051948051948052
3.2731182795698923,-10.441558441558442
3.303225806451613,-10.831168831168831
3.4387096774193546,-11.134199134199134
3.589247311827957,-11.1991341991342
3.81505376344086,-11.1991341991342
4.025806451612903,-11.155844155844157
4.161290322580645,-11.307359307359308
4.236559139784946,-11.545454545454547
4.296774193548387,-11.978354978354979
4.372043010752688,-12.367965367965368
4.49247311827957,-12.8008658008658
4.627956989247312,-13.255411255411255
4.808602150537634,-13.666666666666668
5.004301075268817,-14.077922077922079
5.16989247311828,-14.445887445887447
5.455913978494624,-14.813852813852815
5.756989247311828,-15.181818181818183
5.982795698924731,-15.528138528138527
6.268817204301075,-15.80952380952381
6.524731182795699,-16.06926406926407
6.840860215053763,-16.350649350649352
7.111827956989247,-16.567099567099568
